id,niveau,matieres_preferees,mathematiques,physique,chimie,informatique,francais,anglais,biologie,economie,gestion,histoire_geographie,droit,technique,competences,centres_interet,activites_projets,preferences_professionnelles,environnement_travail,parcours_recommande
322,Baccalauréat Technique,Chimie;Mathématiques;Biologie,10.99,14.89,17.59,9.97,8.88,13.12,14.83,8.0,0,0,0,12.33,Gestion des procédés;Technologies alimentaires,Environnement;Agriculture,Projet de transformation alimentaire;Analyse de la qualité d'un produit alimentaire;Projet scolaire,Technicien,Environnement industriel;Laboratoire,IAA
323,Bac+1,Biologie;Chimie;Mathématiques;Anglais,15.47,0,16.53,0,0,14.35,13.02,0,0,11.19,0,9.64,Gestion des procédés,Agriculture,Analyse de la qualité d'un produit alimentaire,Manager;Entrepreneur,Laboratoire;Environnement industriel,IAA
324,Baccalauréat D,Mathématiques;Biologie;Chimie,14.14,8.81,16.99,12.08,0,11.59,14.76,10.61,14.41,0,0,0,Production agroalimentaire;Technologies alimentaires,Sciences;Environnement;Agriculture,Projet de production alimentaire;Analyse de la qualité d'un produit alimentaire;Projet scolaire,Entrepreneur,Laboratoire;Travail en équipe;Administration,IAA
325,Bac+3,Biologie;Mathématiques,15.12,0,15.72,8.3,0,0,15.43,13.38,13.36,0,13.82,11.75,Technologies alimentaires;Gestion des procédés,Agriculture;Santé;Environnement,Projet de transformation alimentaire,Manager;Entrepreneur,Environnement industriel;Travail en équipe;Laboratoire;Environnement international,IAA
326,Bac+3,Mathématiques;Chimie;Biologie,15.62,0,11.36,0,13.94,10.65,11.22,0,0,10.51,0,14.52,Gestion des procédés,Santé,Analyse de la qualité d'un produit alimentaire,Manager;Technicien,Environnement industriel,IAA
327,Bac+1,Biologie;Mathématiques,17.4,8.66,15.1,15.17,0,0,14.87,11.77,10.33,0,0,0,Technologies alimentaires;Gestion des procédés;Production agroalimentaire;Conception de logiciels,Sciences;Environnement,Projet de transformation alimentaire,Technicien,Laboratoire;Environnement industriel,IAA
328,Bac+2,Chimie;Biologie;Technique,15.82,0,15.32,10.27,10.71,11.78,17.0,13.23,0,15.44,0,0,Technologies alimentaires;Production agroalimentaire;Gestion des procédés,Agriculture;Sciences;Santé;Communication,Projet de transformation alimentaire,Technicien,Environnement industriel;Travail en équipe,IAA
329,Baccalauréat D,Biologie;Chimie;Mathématiques,17.03,0,15.01,0,0,11.13,12.29,0,0,14.5,0,0,Technologies alimentaires;Contrôle qualité;Production agroalimentaire,Environnement;Santé;Agriculture,Projet de transformation alimentaire,Manager,Environnement industriel;Laboratoire;Bureau,IAA
330,Bac+3,Biologie;Mathématiques;Chimie,16.99,0,12.25,0,0,0,12.76,0,0,0,0,0,Contrôle qualité;Gestion des procédés;Production agroalimentaire,Santé;Environnement;Agriculture;Intelligence artificielle,Analyse de la qualité d'un produit alimentaire,Manager,Environnement industriel;Laboratoire,IAA
331,Baccalauréat Technique,Biologie;Chimie;Mathématiques;Français,16.62,8.03,12.37,0,8.02,8.61,17.23,0,0,14.95,0,0,Production agroalimentaire;Contrôle qualité,Santé,Analyse de la qualité d'un produit alimentaire,Technicien;Entrepreneur;Développeur logiciel,Environnement industriel,IAA
332,Bac+1,Mathématiques;Chimie,15.15,10.06,12.89,0,14.12,15.98,17.02,9.24,15.5,0,14.16,0,Contrôle qualité;Production agroalimentaire,Sciences;Santé,Projet de production alimentaire;Projet de transformation alimentaire,Technicien;Manager,Laboratoire;Environnement industriel,IAA
333,Baccalauréat C,Chimie;Mathématiques;Biologie,12.51,0,15.01,0,0,10.72,15.74,12.1,0,9.52,0,0,Production agroalimentaire;Technologies alimentaires;Gestion des procédés,Environnement;Agriculture,Projet de transformation alimentaire;Projet de production alimentaire;Projet scolaire,Entrepreneur,Environnement industriel;Travail en équipe;Laboratoire,IAA
334,Baccalauréat C,Biologie;Mathématiques;Chimie,16.09,9.09,17.45,0,13.0,14.68,13.31,0,14.87,10.4,0,10.07,Contrôle qualité;Gestion des procédés,Sciences;Santé,Analyse de la qualité d'un produit alimentaire;Projet de production alimentaire,Manager,Laboratoire;Travail en équipe;Environnement industriel,IAA
335,Bac+1,Biologie;Chimie;Mathématiques,13.85,10.49,17.96,0,13.7,0,17.68,0,0,11.23,0,15.02,Technologies alimentaires;Analyse,Sciences;Technologie,Projet de transformation alimentaire,Manager,Travail en équipe;Laboratoire,IAA
336,Baccalauréat Technique,Mathématiques;Biologie;Technique;Chimie,13.86,13.67,15.32,0,0,0,12.39,14.36,0,12.38,9.69,0,Technologies alimentaires,Environnement;Santé,Projet de production alimentaire,Entrepreneur,Travail en équipe;Environnement industriel;Laboratoire,IAA
337,Baccalauréat Technique,Chimie;Biologie,17.12,0,16.92,0,10.0,8.58,16.71,8.9,9.68,13.57,10.73,9.18,Production agroalimentaire;Contrôle qualité;Technologies alimentaires,Santé;Agriculture,Projet de transformation alimentaire,Entrepreneur,Laboratoire;Environnement industriel;Travail en équipe,IAA
338,Baccalauréat C,Biologie;Mathématiques,14.37,11.67,13.59,0,10.23,8.11,17.1,0,13.15,13.51,11.81,9.28,Gestion des procédés,Agriculture,Projet de transformation alimentaire;Projet de production alimentaire;Projet personnel,Entrepreneur;Manager,Travail en équipe;Environnement industriel,IAA
339,Bac+1,Chimie;Mathématiques;Biologie,18.27,0,16.1,0,0,11.98,13.84,14.15,0,10.73,0,13.86,Gestion des procédés;Contrôle qualité;Technologies alimentaires,Environnement;Santé;Agriculture;Technologie,Projet de transformation alimentaire,Manager;Entrepreneur,Environnement industriel;Travail en équipe;Laboratoire,IAA
340,Baccalauréat D,Chimie;Mathématiques,15.29,11.3,16.3,0,0,9.09,15.41,10.05,0,15.93,0,0,Production agroalimentaire,Sciences;Environnement,Projet de transformation alimentaire,Entrepreneur;Technicien,Travail en équipe;Laboratoire;Environnement industriel,IAA
341,Bac+2,Biologie;Mathématiques;Chimie,13.97,13.57,19.0,0,13.91,0,16.43,14.58,8.36,14.62,10.36,11.6,Contrôle qualité;Production agroalimentaire;Technologies alimentaires,Agriculture;Environnement;Santé,Projet de transformation alimentaire;Projet de production alimentaire,Manager,Environnement industriel;Bureau,IAA
342,Bac+3,Mathématiques;Chimie;Biologie,14.45,0,14.21,0,0,0,18.07,0,0,11.62,0,0,Contrôle qualité;Gestion des procédés;Technologies alimentaires;Électronique,Santé;Agriculture,Projet de production alimentaire,Technicien,Travail en équipe;Environnement industriel,IAA
343,Baccalauréat D,Chimie;Mathématiques,14.53,0,12.84,0,0,0,13.14,0,9.01,0,0,0,Contrôle qualité,Santé,Analyse de la qualité d'un produit alimentaire,Technicien;Entrepreneur,Laboratoire,IAA
344,Baccalauréat C,Chimie;Mathématiques,13.67,0,15.87,10.21,0,14.12,18.17,0,0,0,9.32,0,Production agroalimentaire;Gestion des procédés;Technologies alimentaires,Environnement,Projet de transformation alimentaire;Projet de production alimentaire,Manager;Entrepreneur,Travail en équipe;Environnement industriel;Laboratoire,IAA
345,Bac+2,Chimie;Biologie;Physique;Informatique,14.49,0,16.14,0,0,0,10.48,0,0,13.09,13.79,9.2,Production agroalimentaire;Gestion des procédés,Agriculture;Environnement,Analyse de la qualité d'un produit alimentaire,Entrepreneur,Travail en équipe,IAA
346,Bac+2,Mathématiques;Biologie;Chimie;Technique;Droit,17.25,13.0,18.04,0,8.52,8.38,12.5,0,12.45,0,13.0,14.86,Gestion des procédés,Agriculture,Projet de production alimentaire,Manager;Technicien;Architecte,Travail en équipe,IAA
347,Bac+1,Chimie;Mathématiques;Biologie,14.08,0,14.03,0,8.83,0,13.59,11.12,0,0,15.57,10.32,Contrôle qualité,Santé,Analyse de la qualité d'un produit alimentaire;Projet personnel,Entrepreneur;Développeur logiciel,Environnement industriel;Travail en équipe,IAA
348,Baccalauréat Technique,Mathématiques;Chimie;Droit;Technique,15.49,15.78,16.54,13.51,13.49,14.82,15.56,14.12,14.63,10.52,0,9.78,Production agroalimentaire;Techniques agricoles,Environnement;Santé;Agriculture,Projet de production alimentaire;Projet scolaire,Entrepreneur;Technicien,Environnement industriel,IAA
349,Baccalauréat Technique,Mathématiques;Chimie;Biologie,18.64,0,15.94,0,11.11,0,14.84,0,0,0,9.48,0,Production agroalimentaire,Sciences;Santé;Tourisme,Projet de transformation alimentaire,Manager;Entrepreneur,Travail en équipe;Laboratoire,IAA
350,Bac+3,Chimie;Mathématiques;Économie;Français,15.66,0,18.77,0,0,10.34,13.77,8.21,15.98,14.52,9.72,0,Production agroalimentaire;Comptabilité,Santé;Agriculture;Finance,Projet de production alimentaire,Technicien;Manager,Environnement industriel,IAA
351,Bac+3,Mathématiques;Biologie;Chimie;Physique;Informatique,11.28,0,10.3,15.92,0,11.12,15.7,0,9.23,0,13.96,9.4,Technologies alimentaires,Sciences;Agriculture,Analyse de la qualité d'un produit alimentaire,Entrepreneur;Manager,Travail en équipe;Laboratoire;Environnement industriel,IAA
352,Baccalauréat S,Biologie;Mathématiques;Chimie;Physique;Droit,16.22,14.9,18.79,0,9.7,0,14.25,10.96,0,14.58,0,0,Production agroalimentaire;Contrôle qualité;Technologies alimentaires,Environnement,Analyse de la qualité d'un produit alimentaire,Entrepreneur;Manager,Environnement industriel;Travail en équipe;Laboratoire,IAA
353,Baccalauréat S,Chimie;Biologie,16.38,12.52,15.24,0,0,0,19.43,0,14.71,0,14.24,0,Gestion des procédés;Technologies alimentaires,Environnement,Projet de production alimentaire,Entrepreneur;Technicien,Laboratoire;Environnement industriel;Entreprise,IAA
354,Bac+3,Chimie;Mathématiques;Technique;Économie,17.94,0,16.47,14.55,8.02,11.26,18.4,0,0,8.24,0,0,Technologies alimentaires;Gestion des procédés,Santé;Sciences,Projet de production alimentaire;Analyse de la qualité d'un produit alimentaire,Technicien;Entrepreneur,Laboratoire;Travail en équipe,IAA
355,Baccalauréat C,Chimie;Biologie;Mathématiques,16.46,12.7,18.46,15.19,0,0,14.37,13.34,0,0,0,15.99,Gestion des procédés,Sciences,Projet de transformation alimentaire;Projet de production alimentaire,Entrepreneur;Technicien,Laboratoire;Environnement industriel,IAA
356,Baccalauréat D,Mathématiques;Biologie;Chimie,17.53,0,18.59,0,10.95,0,15.65,12.79,8.47,0,0,0,Contrôle qualité;Technologies alimentaires;Agri-business,Sciences;Santé;Agriculture,Analyse de la qualité d'un produit alimentaire;Projet de transformation alimentaire,Manager;Ingénieur,Travail en équipe;Environnement industriel;Laboratoire,IAA
357,Baccalauréat D,Biologie;Mathématiques,17.14,0,12.58,0,12.36,8.09,19.14,8.81,0,8.9,0,12.11,Technologies alimentaires;Production agroalimentaire;Contrôle qualité,Santé;Agriculture;Sciences;Technologie,Projet de production alimentaire,Manager;Technicien,Travail en équipe,IAA
358,Baccalauréat Technique,Biologie;Mathématiques;Chimie;Physique,12.34,8.81,13.31,11.71,0,0,11.86,9.29,11.93,0,0,13.03,Gestion des procédés;Production agroalimentaire,Environnement;Santé,Projet de transformation alimentaire;Analyse de la qualité d'un produit alimentaire,Entrepreneur,Travail en équipe;Environnement international,IAA
359,Bac+1,Biologie;Mathématiques,16.02,0,16.67,0,15.42,11.83,14.24,0,0,0,0,0,Technologies alimentaires,Agriculture;Sciences,Projet de transformation alimentaire,Manager;Technicien;Développeur logiciel,Travail en équipe;Environnement industriel;Laboratoire,IAA
360,Bac+1,Mathématiques;Biologie;Chimie,16.75,0,15.46,12.54,0,0,18.24,0,0,12.99,0,0,Contrôle qualité;Aménagement,Sciences;Santé,Projet de production alimentaire,Entrepreneur;Manager,Travail en équipe;Laboratoire,IAA
361,Baccalauréat C,Mathématiques;Chimie;Biologie;Technique,17.38,0,13.16,15.39,12.35,11.82,17.61,15.47,0,8.62,0,0,Recherche pharmaceutique;Pharmacologie;Biotechnologie,Environnement,Projet de recherche pharmaceutique;Étude des propriétés d'une plante,Chercheur,Travail individuel,PIP
362,Baccalauréat D,Mathématiques;Chimie;Biologie,17.66,13.56,18.28,0,0,13.82,14.05,13.38,15.2,13.97,0,9.46,Recherche pharmaceutique;Pharmacologie;Biotechnologie;Gestion commerciale,Sciences;Santé;Environnement,Projet de recherche pharmaceutique,Technicien;Chercheur,Laboratoire,PIP
363,Baccalauréat C,Chimie;Biologie;Mathématiques,16.48,0,17.03,12.6,12.71,0,13.72,0,9.79,0,0,0,Biotechnologie;Pharmacologie;Python,Environnement;Sciences,Recherche sur une plante médicinale;Étude des propriétés d'une plante,Technicien;Chercheur;Data Scientist,Laboratoire,PIP
364,Bac+1,Mathématiques;Biologie;Chimie;Gestion;Anglais,11.78,0,12.65,11.63,10.62,13.83,16.18,0,0,0,0,11.41,Analyse scientifique;Recherche pharmaceutique,Santé;Environnement,Recherche sur une plante médicinale,Technicien,Travail individuel,PIP
365,Bac+1,Biologie;Chimie,13.72,0,16.41,0,0,0,18.97,15.64,0,0,14.03,0,Biotechnologie;Analyse scientifique;Techniques de vente,Environnement;Sciences,Projet de recherche pharmaceutique;Étude des propriétés d'une plante,Technicien;Chercheur,Laboratoire;Travail individuel,PIP
366,Baccalauréat S,Chimie;Biologie,14.35,8.32,12.32,0,0,0,11.5,0,0,0,10.61,9.67,Biotechnologie;Pharmacologie;Communication,Environnement;Sciences;Santé,Étude des propriétés d'une plante;Projet de recherche pharmaceutique,Technicien;Chercheur;Comptable,Travail individuel;Laboratoire,PIP
367,Baccalauréat Technique,Chimie;Mathématiques;Biologie;Français;Gestion,16.0,9.75,18.07,0,9.07,0,13.49,0,0,0,0,13.91,Pharmacologie,Santé;Environnement,Étude des propriétés d'une plante;Recherche sur une plante médicinale,Technicien;Chercheur,Laboratoire,PIP
368,Bac+1,Biologie;Mathématiques;Chimie,12.2,12.57,10.84,14.53,0,0,15.25,8.82,14.95,0,0,0,Analyse scientifique,Santé,Projet de recherche pharmaceutique,Chercheur,Laboratoire,PIP
369,Baccalauréat Technique,Mathématiques;Biologie,19.03,0,16.58,0,12.41,9.33,17.08,12.62,0,12.45,11.34,0,Recherche pharmaceutique;Biotechnologie;Pharmacologie;Valorisation du patrimoine,Sciences;Santé,Étude des propriétés d'une plante;Projet de recherche pharmaceutique,Chercheur;Technicien,Laboratoire;Travail individuel,PIP
370,Bac+1,Chimie;Mathématiques;Technique;Histoire-Géographie,18.66,0,14.47,0,15.61,0,13.7,13.4,0,10.91,0,0,Pharmacologie;Élevage,Sciences,Projet de recherche pharmaceutique;Étude des propriétés d'une plante,Technicien;Chercheur,Travail individuel;Laboratoire,PIP
371,Bac+2,Chimie;Mathématiques;Biologie;Anglais,18.44,0,17.71,8.53,0,9.68,18.41,0,9.19,0,0,0,Biotechnologie;Recherche pharmaceutique;Analyse scientifique;Communication,Sciences;Santé;Droit,Projet de recherche pharmaceutique,Chercheur;Technicien,Laboratoire;Travail individuel;Administration,PIP
372,Baccalauréat D,Mathématiques;Chimie,13.8,0,14.86,0,12.85,0,11.04,9.04,8.97,0,13.78,0,Recherche pharmaceutique;Analyse scientifique;Biotechnologie,Environnement;Santé;Sciences,Étude des propriétés d'une plante,Chercheur,Travail individuel;Laboratoire;Environnement industriel,PIP
373,Baccalauréat C,Chimie;Biologie;Gestion;Droit,12.36,13.32,16.57,9.03,0,0,15.85,0,0,0,13.94,0,Biotechnologie;Rédaction,Sciences;Santé;Environnement;Technologie,Recherche sur une plante médicinale,Technicien;Chercheur,Travail individuel;Laboratoire,PIP
374,Bac+2,Chimie;Mathématiques;Biologie;Physique,14.16,9.85,13.24,0,13.75,0,16.47,9.83,10.25,0,0,10.09,Analyse scientifique;Techniques agricoles,Santé;Environnement;Agriculture,Étude des propriétés d'une plante;Projet de recherche pharmaceutique,Technicien;Chercheur,Laboratoire;Travail individuel,PIP
375,Baccalauréat Technique,Biologie;Mathématiques;Chimie,16.81,0,14.47,0,8.35,8.95,15.25,14.45,0,9.84,10.21,0,Pharmacologie;Recherche pharmaceutique,Santé;Environnement;Sciences,Projet de recherche pharmaceutique;Projet personnel,Technicien,Laboratoire;Travail individuel,PIP
376,Bac+2,Chimie;Mathématiques;Biologie,11.73,14.96,14.55,10.4,0,13.63,12.69,12.25,0,11.41,10.03,8.96,Biotechnologie;Python,Environnement,Étude des propriétés d'une plante;Projet de recherche pharmaceutique,Chercheur;Technicien,Laboratoire,PIP
377,Bac+2,Chimie;Mathématiques;Biologie,14.33,10.64,16.93,0,12.71,0,11.88,13.24,0,0,0,13.72,Biotechnologie;Recherche pharmaceutique;Analyse scientifique,Environnement;Santé;Sciences,Étude des propriétés d'une plante,Technicien,Travail individuel;Laboratoire,PIP
378,Bac+1,Chimie;Biologie,17.77,12.45,13.6,8.8,10.29,11.84,12.65,10.58,13.9,0,0,0,Analyse scientifique;Biotechnologie;Pharmacologie,Environnement,Recherche sur une plante médicinale;Étude des propriétés d'une plante,Chercheur,Travail individuel,PIP
379,Baccalauréat Technique,Chimie;Mathématiques,16.93,0,15.13,0,0,0,16.22,13.61,0,0,0,0,Recherche pharmaceutique;Analyse scientifique;Biotechnologie;Gestion touristique,Environnement,Projet de recherche pharmaceutique;Recherche sur une plante médicinale,Technicien,Laboratoire;Travail individuel,PIP
380,Bac+3,Mathématiques;Chimie;Biologie,16.44,0,10.49,0,10.56,0,15.78,12.51,11.23,0,0,0,Recherche pharmaceutique;Biotechnologie;Pharmacologie,Environnement;Sciences;Santé,Projet de recherche pharmaceutique;Étude des propriétés d'une plante,Technicien;Data Scientist,Laboratoire,PIP
381,Baccalauréat D,Mathématiques;Biologie;Physique,15.45,11.9,17.68,0,13.78,14.23,16.35,0,0,10.34,12.84,13.12,Recherche pharmaceutique;Pharmacologie;Analyse scientifique,Sciences;Santé;Environnement,Recherche sur une plante médicinale;Projet de recherche pharmaceutique,Technicien;Chercheur,Travail individuel,PIP
382,Bac+1,Biologie;Chimie;Mathématiques,17.0,12.28,15.45,0,0,10.07,17.33,0,12.61,12.99,10.4,14.64,Pharmacologie;Recherche pharmaceutique;Analyse scientifique,Environnement,Recherche sur une plante médicinale,Chercheur;Technicien;Comptable,Travail individuel,PIP
383,Bac+1,Biologie;Mathématiques,18.3,15.65,16.73,12.93,13.2,0,15.41,0,14.76,0,0,0,Analyse scientifique;Biotechnologie;Recherche pharmaceutique,Environnement;Santé;Sciences,Projet de recherche pharmaceutique;Recherche sur une plante médicinale;Projet scolaire,Technicien;Chercheur,Laboratoire,PIP
384,Bac+1,Biologie;Mathématiques,16.05,0,15.95,0,12.95,15.44,13.69,0,10.72,10.51,0,12.91,Pharmacologie;Analyse scientifique;Recherche pharmaceutique,Environnement,Étude des propriétés d'une plante;Participation à une association,Technicien,Laboratoire,PIP
385,Bac+3,Chimie;Biologie;Mathématiques;Français;Informatique,14.26,8.45,13.13,0,0,9.09,15.79,10.35,11.0,0,0,0,Recherche pharmaceutique;Pharmacologie;Biotechnologie,Sciences;Environnement;Finance,Étude des propriétés d'une plante;Projet de recherche pharmaceutique,Technicien;Chercheur,Travail individuel;Laboratoire;Télétravail,PIP
386,Bac+3,Biologie;Chimie;Anglais,18.74,0,15.96,13.6,11.17,12.87,11.62,0,0,9.49,10.35,0,Recherche pharmaceutique;Pharmacologie,Sciences;Environnement;Informatique,Étude des propriétés d'une plante;Projet scolaire,Technicien,Laboratoire,PIP
387,Bac+1,Mathématiques;Biologie;Chimie;Physique;Informatique,15.17,13.69,16.53,0,12.76,0,16.2,14.42,15.95,10.1,14.5,13.84,Analyse scientifique;Comptabilité,Environnement,Étude des propriétés d'une plante;Recherche sur une plante médicinale,Chercheur;Technicien,Travail individuel,PIP
388,Baccalauréat C,Biologie;Chimie;Français;Droit,13.09,0,17.09,15.56,13.22,11.74,18.35,0,9.12,15.48,0,12.3,Recherche pharmaceutique;Biotechnologie;Analyse scientifique,Santé;Environnement,Étude des propriétés d'une plante;Projet scolaire,Chercheur;Technicien,Laboratoire;Travail individuel,PIP
389,Baccalauréat D,Chimie;Mathématiques;Biologie;Anglais;Physique,16.79,0,14.4,0,15.15,9.84,11.99,0,0,0,8.55,0,Recherche pharmaceutique;Biotechnologie;Analyse des systèmes,Sciences;Santé,Projet de recherche pharmaceutique;Étude des propriétés d'une plante,Chercheur;Technicien,Laboratoire;Travail individuel,PIP
390,Baccalauréat D,Mathématiques;Chimie;Biologie,18.0,0,14.82,12.29,0,0,13.96,12.98,0,0,0,0,Analyse scientifique;Pharmacologie;Biotechnologie,Santé;Sciences;Environnement,Projet de recherche pharmaceutique;Recherche sur une plante médicinale,Chercheur,Travail individuel;Laboratoire,PIP
391,Baccalauréat C,Mathématiques;Biologie,15.0,8.9,16.35,15.36,15.05,9.38,19.36,0,0,9.17,8.94,9.41,Analyse scientifique;Management,Sciences;Environnement,Recherche sur une plante médicinale,Technicien;Chercheur;Architecte,Laboratoire;Travail individuel,PIP
392,Baccalauréat C,Chimie;Mathématiques;Biologie,16.78,12.08,12.46,14.01,0,0,12.56,0,0,0,0,9.59,Recherche pharmaceutique,Santé;Environnement,Étude des propriétés d'une plante;Projet de recherche pharmaceutique,Technicien;Agronome,Travail individuel;Laboratoire,PIP
393,Bac+2,Chimie;Biologie,12.18,14.73,16.97,14.46,0,12.91,18.2,0,0,0,14.18,0,Recherche pharmaceutique;Biotechnologie;Multimédia,Sciences,Recherche sur une plante médicinale;Étude des propriétés d'une plante,Chercheur,Travail individuel,PIP
394,Baccalauréat Technique,Mathématiques;Chimie;Biologie;Histoire-Géographie;Français,15.98,0,15.49,0,15.55,15.05,16.2,0,0,0,0,8.12,Analyse scientifique,Sciences;Santé;Environnement,Étude des propriétés d'une plante;Projet de recherche pharmaceutique,Technicien,Laboratoire;Travail individuel,PIP
395,Baccalauréat C,Chimie;Mathématiques,17.69,8.74,16.09,10.13,12.83,0,13.41,13.66,0,0,0,15.33,Biotechnologie,Sciences;Santé,Recherche sur une plante médicinale,Chercheur,Travail individuel;Laboratoire,PIP
396,Baccalauréat C,Chimie;Biologie;Économie;Gestion,11.89,14.62,15.56,0,0,0,17.66,0,8.47,0,0,0,Pharmacologie;Analyse scientifique;Recherche pharmaceutique,Santé;Informatique,Étude des propriétés d'une plante,Chercheur;Technicien;Développeur logiciel,Laboratoire;Environnement international,PIP
397,Bac+2,Biologie;Chimie,15.36,13.98,11.89,0,0,14.57,11.01,0,0,0,0,11.87,Analyse scientifique;Biotechnologie;Pharmacologie,Environnement;Sciences;Communication,Étude des propriétés d'une plante;Recherche sur une plante médicinale,Technicien;Chercheur,Travail individuel;Laboratoire,PIP
398,Baccalauréat D,Mathématiques;Chimie,12.61,0,14.75,0,10.66,14.2,15.8,0,15.14,15.05,0,10.05,Biotechnologie,Sciences,Étude des propriétés d'une plante;Projet de recherche pharmaceutique;Participation à une association,Chercheur;Technicien,Travail individuel;Laboratoire,PIP
399,Baccalauréat D,Chimie;Biologie;Mathématiques,14.73,14.53,18.73,11.59,8.64,0,13.5,0,8.27,0,0,8.34,Biotechnologie;Recherche pharmaceutique;Analyse scientifique,Santé;Environnement;Sciences,Étude des propriétés d'une plante,Chercheur;Technicien;Data Scientist,Travail individuel;Laboratoire,PIP
400,Baccalauréat C,Mathématiques;Chimie;Économie;Anglais,16.03,15.52,18.59,0,0,15.21,18.76,15.7,14.88,0,0,10.56,Pharmacologie;Biotechnologie,Environnement;Sciences,Recherche sur une plante médicinale;Étude des propriétés d'une plante,Chercheur;Technicien,Travail individuel,PIP
401,Bac+1,Chimie;Mathématiques;Biologie,17.73,15.86,14.78,10.43,0,15.18,11.96,8.25,8.36,0,0,8.58,Techniques agricoles;Agri-business,Business;Agriculture,Projet d'élevage;Projet de culture agricole,Agronome;Manager,Terrain;Travail en équipe,AEE
402,Baccalauréat D,Chimie;Biologie;Droit,12.81,0,13.06,0,11.83,13.44,18.6,0,0,12.65,0,9.8,Agri-business,Agriculture;Environnement,Projet de culture agricole,Agronome,Entreprise;Travail en équipe;Terrain,AEE
403,Bac+1,Biologie;Mathématiques;Chimie,16.74,0,15.66,10.65,8.12,0,16.32,0,0,9.95,0,0,Agri-business;Gestion d'exploitation;Élevage;Architecture des ordinateurs,Agriculture,Projet de culture agricole;Création d'un projet agricole,Entrepreneur,Entreprise;Travail en équipe,AEE
404,Bac+1,Mathématiques;Biologie;Chimie;Histoire-Géographie;Économie,11.21,0,14.46,0,0,0,12.51,0,11.7,0,12.77,11.56,Gestion d'exploitation,Business,Projet de culture agricole;Projet personnel,Agronome,Travail en équipe;Terrain;Entreprise,AEE
405,Baccalauréat Technique,Chimie;Mathématiques,16.66,14.18,13.97,12.4,12.71,14.0,16.26,0,12.45,8.4,0,9.89,Élevage;Techniques agricoles;Agri-business,Business,Projet de culture agricole;Projet d'élevage,Agronome;Manager,Terrain,AEE
406,Baccalauréat S,Biologie;Chimie,16.11,0,16.06,0,10.02,11.9,12.62,13.99,0,11.37,0,12.82,Techniques agricoles,Business;Agriculture;Environnement;Informatique,Projet d'élevage,Agronome,Travail en équipe,AEE
407,Bac+2,Chimie;Biologie;Français;Mathématiques,18.81,0,16.5,11.17,15.87,13.72,17.78,11.68,12.68,0,14.14,0,Élevage;Gestion d'exploitation;Techniques agricoles,Business;Agriculture;Environnement,Projet de culture agricole,Agronome,Entreprise,AEE
408,Baccalauréat Technique,Biologie;Mathématiques;Chimie;Informatique;Anglais,17.52,8.45,16.42,0,15.76,15.63,15.44,11.15,12.56,0,8.48,0,Gestion d'exploitation;Agri-business;Gestion hôtelière,Agriculture;Environnement,Création d'un projet agricole,Entrepreneur;Agronome,Entreprise;Terrain;Travail en équipe;Bureau,AEE
409,Bac+2,Mathématiques;Biologie,15.07,0,18.84,0,0,13.39,12.92,0,0,13.88,0,0,Techniques agricoles;Gestion d'exploitation;Élevage;Communication numérique,Environnement;Agriculture;Business,Création d'un projet agricole,Agronome,Entreprise;Terrain,AEE
410,Baccalauréat S,Mathématiques;Biologie;Français,15.85,0,13.64,13.35,0,15.84,15.49,0,13.52,0,0,0,Gestion d'exploitation;Agri-business,Environnement;Agriculture;Business,Projet d'élevage;Création d'un projet agricole,Entrepreneur;Manager,Travail en équipe;Entreprise;Terrain,AEE
411,Baccalauréat S,Biologie;Chimie;Mathématiques,17.3,0,19.77,0,8.7,14.08,15.03,0,0,14.75,14.83,11.63,Élevage;Techniques agricoles,Business;Agriculture;Environnement;Droit,Projet de culture agricole;Projet d'élevage,Agronome,Entreprise,AEE
412,Bac+2,Mathématiques;Biologie;Chimie,15.44,0,14.71,0,13.16,0,15.36,9.34,0,13.84,15.33,0,Élevage;Techniques agricoles,Environnement;Agriculture;Business,Projet d'élevage;Création d'un projet agricole,Agronome;Manager,Terrain;Travail en équipe;Entreprise,AEE
413,Baccalauréat D,Biologie;Mathématiques,12.73,0,13.32,10.23,14.62,0,15.38,11.51,0,15.49,12.15,0,Techniques agricoles,Business;Agriculture,Projet d'élevage;Participation à une association,Agronome,Entreprise;Terrain;Travail en équipe,AEE
414,Baccalauréat Technique,Chimie;Biologie;Mathématiques,16.34,12.98,12.8,0,13.77,0,14.39,0,0,13.75,0,15.15,Élevage;Techniques agricoles;Gestion d'exploitation;Production agroalimentaire,Environnement;Agriculture;Business,Projet de culture agricole,Manager;Agronome,Terrain,AEE
415,Baccalauréat D,Chimie;Mathématiques,13.23,15.81,11.12,0,0,12.05,14.79,8.79,0,8.8,0,0,Élevage;Gestion d'exploitation;Techniques agricoles,Business;Environnement,Création d'un projet agricole;Projet d'élevage,Agronome;Entrepreneur,Terrain;Travail en équipe,AEE
416,Baccalauréat C,Biologie;Chimie,15.91,0,16.24,15.92,0,0,17.3,0,0,15.67,11.02,0,Gestion d'exploitation;Techniques agricoles;Élevage,Agriculture;Environnement,Projet de culture agricole,Manager;Développeur logiciel,Entreprise;Travail en équipe;Terrain,AEE
